underlying_symbol,quote_datetime,sequence_number,root,expiration,strike,option_type,exchange_id,trade_size,trade_price,trade_condition_id,canceled_trade_condition_id,best_bid,best_ask,underlying_bid,underlying_ask,number_of_exchanges,{exchange,bid_size,bid,ask_size,ask}[number_of_exchanges]
^VIX,2016-06-01 09:37:04.700,339658411,VIX,2016-06-08,14.500,C,5,1,1.0000,0,0,0.9000,1.2500,15.3000,15.3000,1,5,3001,0.9000,3641,1.2500
^VIX,2016-06-01 09:47:59.775,8346203,VIX,2016-06-08,14.500,C,5,1,1.1000,0,0,0.9000,1.1000,15.2250,15.2250,1,5,2780,0.9000,1443,1.1000
^VIX,2016-06-01 09:51:10.400,9611350,VIX,2016-06-08,14.500,C,5,3,1.1000,0,0,0.8500,1.1000,15.1500,15.1500,1,5,4018,0.8500,4760,1.1000
^VIX,2016-06-01 10:18:26.525,21319483,VIX,2016-06-08,14.500,C,5,8,0.9500,0,0,0.9000,1.0500,15.0750,15.0750,1,5,25,0.9000,4892,1.0500
^VIX,2016-06-01 11:02:49.350,37900295,VIX,2016-06-08,14.500,C,5,2,0.8500,0,0,0.8000,0.9500,14.9250,14.9250,1,5,25,0.8000,2704,0.9500
^VIX,2016-06-01 13:56:10.175,78320315,VIX,2016-06-08,14.500,C,5,10,0.8500,0,0,0.7500,0.9000,14.8500,14.8500,1,5,134,0.7500,360,0.9000
^VIX,2016-06-01 15:46:43.575,100017726,VIX,2016-06-08,14.500,C,5,30,0.6500,0,0,0.5500,0.7000,14.6000,14.6000,1,5,265,0.5500,3451,0.7000
^VIX,2016-06-01 09:43:32.200,6340142,VIX,2016-06-08,14.500,P,5,4,0.3000,0,0,0.2500,0.3500,15.1750,15.1750,1,5,768,0.2500,308,0.3500
^VIX,2016-06-01 11:01:27.400,37249815,VIX,2016-06-08,14.500,P,5,1,0.4000,0,0,0.3000,0.4500,14.9000,14.9000,1,5,5887,0.3000,27,0.4500
^VIX,2016-06-01 11:01:32.950,37318705,VIX,2016-06-08,14.500,P,5,27,0.4500,0,0,0.3000,0.5000,14.9000,14.9000,1,5,6148,0.3000,10,0.5000
^VIX,2016-06-01 11:16:30.400,42458623,VIX,2016-06-08,14.500,P,5,15,0.4000,0,0,0.3000,0.5000,14.8250,14.8250,1,5,3474,0.3000,221,0.5000
^VIX,2016-06-01 12:07:56.325,56640625,VIX,2016-06-08,14.500,P,5,4,0.5000,0,0,0.4000,0.5000,14.8000,14.8000,1,5,10,0.4000,6,0.5000
^VIX,2016-06-01 14:29:44.275,85526467,VIX,2016-06-08,14.500,P,5,10,0.5000,0,0,0.4000,0.5500,14.6750,14.6750,1,5,492,0.4000,6,0.5500
^VIX,2016-06-01 15:28:19.350,96267960,VIX,2016-06-08,14.500,P,5,6,0.5500,0,0,0.4000,0.6500,14.6250,14.6250,1,5,6063,0.4000,900,0.6500
^VIX,2016-06-01 09:32:19.350,1968899,VIX,2016-06-08,15.000,C,5,2,0.9000,0,0,0.6000,0.9000,15.1750,15.1750,1,5,4537,0.6000,2592,0.9000
^VIX,2016-06-01 09:35:52.400,3572504,VIX,2016-06-08,15.000,C,5,10,0.9500,0,0,0.6500,0.9500,15.2500,15.2500,1,5,5770,0.6500,4472,0.9500
^VIX,2016-06-01 09:54:45.725,10690470,VIX,2016-06-08,15.000,C,5,25,0.7300,35,0,0.6000,0.8500,15.1500,15.1500,1,5,6124,0.6000,4972,0.8500
^VIX,2016-06-01 09:57:15.125,78737608,VIX,2016-06-08,15.000,C,5,4,0.8500,0,0,0.7000,0.8500,15.2250,15.2250,1,5,1334,0.7000,6,0.8500
^VIX,2016-06-01 10:10:09.175,18356561,VIX,2016-06-08,15.000,C,5,2,0.5500,0,0,0.5500,0.8000,15.0750,15.0750,1,5,5176,0.5500,4767,0.8000
^VIX,2016-06-01 10:41:37.850,231698931,VIX,2016-06-08,15.000,C,5,4,0.7000,0,0,0.6500,0.8000,15.0750,15.0750,1,5,687,0.6500,2752,0.8000
^VIX,2016-06-01 12:15:01.375,125671131,VIX,2016-06-08,15.000,C,5,10,0.5500,35,0,0.4500,0.6000,14.8000,14.8000,1,5,3435,0.4500,300,0.6000
^VIX,2016-06-01 13:48:45.725,77083582,VIX,2016-06-08,15.000,C,5,5,0.5000,35,0,0.4500,0.6000,14.8500,14.8500,1,5,5018,0.4500,300,0.6000
^VIX,2016-06-01 15:58:24.275,102310974,VIX,2016-06-08,15.000,C,5,20,0.5000,0,0,0.3500,0.5500,14.6500,14.6500,1,5,6549,0.3500,900,0.5500
^VIX,2016-06-01 09:39:38.925,4889523,VIX,2016-06-08,15.000,P,5,5,0.5500,0,0,0.4500,0.5500,15.2750,15.2750,1,5,305,0.4500,20,0.5500
^VIX,2016-06-01 09:39:38.925,4889539,VIX,2016-06-08,15.000,P,5,5,0.5500,0,0,0.4500,0.5500,15.2750,15.2750,1,5,305,0.4500,20,0.5500
^VIX,2016-06-01 09:43:38.975,6390087,VIX,2016-06-08,15.000,P,5,15,0.5500,0,0,0.5000,0.6000,15.1500,15.1500,1,5,480,0.5000,1,0.6000
^VIX,2016-06-01 09:57:05.100,11566960,VIX,2016-06-08,15.000,P,5,1,0.5200,35,0,0.4500,0.6500,15.2250,15.2250,1,5,275,0.4500,4621,0.6500
^VIX,2016-06-01 10:05:04.600,16252387,VIX,2016-06-08,15.000,P,5,2,0.6500,0,0,0.5500,0.6500,15.1500,15.1500,1,5,25,0.5500,483,0.6500
^VIX,2016-06-01 10:10:45.250,85679461,VIX,2016-06-08,15.000,P,5,8,0.6500,0,0,0.5500,0.7500,15.0000,15.0000,1,5,4844,0.5500,179,0.7500
^VIX,2016-06-01 10:26:48.825,24699895,VIX,2016-06-08,15.000,P,5,50,0.6000,0,0,0.5000,0.7000,15.1250,15.1250,1,5,2533,0.5000,789,0.7000
^VIX,2016-06-01 12:21:50.725,60080421,VIX,2016-06-08,15.000,P,5,3,0.9000,0,0,0.6500,0.9000,14.7500,14.7500,1,5,3887,0.6500,536,0.9000
^VIX,2016-06-01 13:23:27.325,72091054,VIX,2016-06-08,15.000,P,5,10,0.7500,0,0,0.7000,0.8500,14.7000,14.7000,1,5,25,0.7000,179,0.8500
^VIX,2016-06-01 09:37:31.550,71357255,VIX,2016-06-08,16.000,C,5,1,0.5000,0,0,0.3500,0.5000,15.3000,15.3000,1,5,3607,0.3500,19,0.5000
^VIX,2016-06-01 09:37:31.550,4248447,VIX,2016-06-08,16.000,C,5,1,0.5000,0,0,0.3500,0.5000,15.3000,15.3000,1,5,3866,0.3500,19,0.5000
^VIX,2016-06-01 09:54:33.750,10649725,VIX,2016-06-08,16.000,C,5,10,0.3500,0,0,0.3000,0.5000,15.1500,15.1500,1,5,5684,0.3000,3797,0.5000
^VIX,2016-06-01 10:41:37.850,231698933,VIX,2016-06-08,16.000,C,5,4,0.4000,0,0,0.3000,0.4500,15.0750,15.0750,1,5,4422,0.3000,1118,0.4500
^VIX,2016-06-01 12:36:52.100,63104769,VIX,2016-06-08,16.000,C,5,7,0.2500,0,0,0.2000,0.3500,14.7500,14.7500,1,5,3846,0.2000,2762,0.3500
^VIX,2016-06-01 13:15:07.325,70667610,VIX,2016-06-08,16.000,C,5,5,0.3000,0,0,0.2000,0.3000,14.7000,14.7000,1,5,1,0.2000,45,0.3000
^VIX,2016-06-01 13:38:28.925,74834187,VIX,2016-06-08,16.000,C,5,47,0.3000,0,0,0.2000,0.3500,14.7500,14.7500,1,5,5299,0.2000,600,0.3500
^VIX,2016-06-01 15:28:15.925,96259850,VIX,2016-06-08,16.000,C,5,2,0.2500,0,0,0.2000,0.3000,14.6750,14.6750,1,5,308,0.2000,4061,0.3000
^VIX,2016-06-01 15:42:53.875,99192795,VIX,2016-06-08,16.000,C,5,100,0.2500,0,0,0.2000,0.3000,14.6000,14.6000,1,5,1,0.2000,5851,0.3000
^VIX,2016-06-01 16:11:12.825,103254482,VIX,2016-06-08,16.000,C,5,500,0.2500,0,0,0.2000,0.3000,14.6500,14.6500,1,5,1,0.2000,2583,0.3000
^VIX,2016-06-01 16:11:27.700,103258893,VIX,2016-06-08,16.000,C,5,1500,0.2500,0,0,0.2000,0.2500,14.6500,14.6500,1,5,1,0.2000,100,0.2500
^VIX,2016-06-01 16:11:27.700,36150029,VIX,2016-06-08,16.000,C,5,950,0.2500,0,0,0.2000,0.2500,14.6500,14.6500,1,5,1,0.2000,100,0.2500
^VIX,2016-06-01 16:11:27.700,237476621,VIX,2016-06-08,16.000,C,5,500,0.2500,0,0,0.2000,0.2500,14.6500,14.6500,1,5,1,0.2000,100,0.2500
^VIX,2016-06-01 16:11:27.700,170367757,VIX,2016-06-08,16.000,C,5,500,0.2500,0,0,0.2000,0.2500,14.6500,14.6500,1,5,1,0.2000,100,0.2500
^VIX,2016-06-01 16:11:27.700,371694349,VIX,2016-06-08,16.000,C,5,500,0.2500,0,0,0.2000,0.2500,14.6500,14.6500,1,5,1,0.2000,100,0.2500
^VIX,2016-06-01 16:11:27.700,304585485,VIX,2016-06-08,16.000,C,5,500,0.2500,0,0,0.2000,0.2500,14.6500,14.6500,1,5,1,0.2000,100,0.2500
^VIX,2016-06-01 10:56:24.050,35389268,VIX,2016-06-08,16.000,P,5,20,1.4000,0,0,1.3000,1.5500,14.9750,14.9750,1,5,400,1.3000,743,1.5500
^VIX,2016-06-01 12:23:13.675,60327265,VIX,2016-06-08,16.000,P,5,5,1.6000,0,0,1.6000,1.6500,14.7500,14.7500,1,5,5,1.6000,243,1.6500
^VIX,2016-06-01 12:23:22.525,60362570,VIX,2016-06-08,16.000,P,5,5,1.6000,0,0,1.5500,1.7000,14.7500,14.7500,1,5,1000,1.5500,583,1.7000
^VIX,2016-06-01 12:24:14.150,597410357,VIX,2016-06-08,16.000,P,5,150,1.6000,0,0,1.6000,1.7000,14.7500,14.7500,1,5,850,1.6000,616,1.7000
^VIX,2016-06-01 12:25:57.650,60890831,VIX,2016-06-08,16.000,P,5,850,1.6000,0,0,1.4500,1.7000,14.7250,14.7250,1,5,435,1.4500,1724,1.7000
^VIX,2016-06-01 12:26:19.225,195161478,VIX,2016-06-08,16.000,P,5,150,1.6000,0,0,1.6000,1.7000,14.7250,14.7250,1,5,1475,1.6000,1734,1.7000
^VIX,2016-06-01 12:26:19.225,60944174,VIX,2016-06-08,16.000,P,5,1325,1.6000,0,0,1.6000,1.7000,14.7250,14.7250,1,5,1475,1.6000,1724,1.7000
^VIX,2016-06-01 13:42:14.450,75827125,VIX,2016-06-08,16.000,P,5,1,1.4000,0,0,1.4000,1.6000,14.8000,14.8000,1,5,9,1.4000,179,1.6000
^VIX,2016-06-01 13:57:26.775,481156574,VIX,2016-06-08,16.000,P,5,9,1.4000,0,0,1.3000,1.5500,14.8500,14.8500,1,5,25,1.3000,253,1.5500
^VIX,2016-06-01 09:43:01.125,6097814,VIX,2016-06-08,17.000,C,5,8,0.2500,0,0,0.2000,0.3000,15.2500,15.2500,1,5,3830,0.2000,25,0.3000
^VIX,2016-06-01 09:54:45.725,10690471,VIX,2016-06-08,17.000,C,5,25,0.2300,35,0,0.1500,0.3000,15.1500,15.1500,1,5,7187,0.1500,3243,0.3000
^VIX,2016-06-01 10:03:00.925,15282032,VIX,2016-06-08,17.000,C,5,16,0.2500,0,0,0.2000,0.3000,15.2000,15.2000,1,5,3997,0.2000,60,0.3000
^VIX,2016-06-01 13:43:44.575,9067650,VIX,2016-06-08,17.000,C,5,10,0.2000,0,0,0.1000,0.2500,14.8250,14.8250,1,5,7111,0.1000,2397,0.2500
^VIX,2016-06-01 14:18:10.100,83351228,VIX,2016-06-08,17.000,C,5,50,0.1800,35,0,0.1000,0.2500,14.6750,14.6750,1,5,3073,0.1000,8358,0.2500
^VIX,2016-06-01 13:48:45.725,77083583,VIX,2016-06-08,18.000,C,5,5,0.1500,35,0,0.0500,0.2000,14.8500,14.8500,1,5,5613,0.0500,7554,0.2000
^VIX,2016-06-01 09:32:44.725,2133923,VIX,2016-06-08,18.000,P,5,3,3.0000,0,0,2.7500,3.2000,15.2250,15.2250,1,5,400,2.7500,1875,3.2000
